ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300784.SZ,20260820,41.17,7.4178,7.4178,1.52,43.1267,49.4285,2.8397,4.3496,4.3859,0.9716,0.9716,5623.76,1681.5,1681.5,231530.0,69227.4,
300238.SZ,20260820,12.43,5.8593,7.9781,1.75,135.377,167.796,5.6814,8.5,8.5298,,,26515.6,26513.4,19472.3,329589.0,329562.0,
301383.SZ,20260820,22.4,2.589,3.9985,0.81,,,1.8755,1.9622,2.0025,1.7812,,16328.3,7061.41,4572.16,365754.0,158176.0,
603871.SH,20260820,12.53,0.799,1.971,1.28,15.0219,14.2017,2.7249,2.0463,2.1388,3.8764,3.1876,136801.0,136801.0,55453.3,1714110.0,1714110.0,
603518.SH,20260820,8.15,1.0649,1.6028,0.65,12.4315,11.3406,0.7325,0.6698,0.6757,3.8184,2.454,34535.2,34407.4,22858.9,281462.0,280420.0,
300370.SZ,20260820,2.18,1.1235,1.7303,0.89,,,7.9006,8.2958,8.2095,,,156538.0,156147.0,101388.0,341252.0,340400.0,
300021.SZ,20260820,3.96,2.8067,3.7968,0.91,82.7928,80.3346,1.5436,1.0764,1.0601,1.306,0.4974,102237.0,87338.9,64563.3,404858.0,345862.0,
603689.SH,20260820,7.58,0.8807,2.3957,1.56,12.2834,11.7839,1.0561,0.7802,0.7988,4.9196,4.5727,52581.3,52344.8,19242.0,398567.0,396774.0,
300705.SZ,20260820,12.43,9.0592,12.4223,1.26,13.1522,15.4011,2.3432,1.999,2.0659,2.4721,3.1783,50029.1,36994.6,26979.2,621862.0,459843.0,
300346.SZ,20260820,57.03,5.9829,6.8498,0.83,123.271,113.138,10.9487,15.2455,15.0464,0.4617,0.8066,69115.7,65599.0,57296.5,3941670.0,3741110.0,
920351.BJ,20260820,12.92,11.7057,13.1794,2.4,61.6776,76.7748,2.5604,0.586,0.6196,0.774,0.774,8803.54,3984.03,3538.53,113742.0,51473.7,
002066.SZ,20260820,21.48,1.2324,2.0584,0.37,,,8.1098,1.3031,1.3572,0.6867,,23490.7,23100.0,13830.3,504580.0,496188.0,
605050.SH,20260820,10.26,0.3056,0.8398,0.66,13.4669,13.6221,1.1321,0.4299,0.4261,3.4049,3.886,49282.9,49282.9,17931.4,505643.0,505643.0,
002426.SZ,20260820,2.59,1.9569,2.2766,0.55,,,5.3681,2.4838,2.4911,,,340263.0,340260.0,292468.0,881280.0,881273.0,
300719.SZ,20260820,11.43,1.8086,2.1366,1.02,,,2.8781,4.2756,4.4471,0.35,,25422.7,17959.5,15202.1,290582.0,205277.0,
300488.SZ,20260820,31.12,2.7063,6.2087,1.06,35.1197,32.5805,2.7198,8.3455,8.1466,0.5718,0.6326,19122.1,16225.3,7072.41,595079.0,504933.0,
603618.SH,20260820,27.74,9.8035,19.003,0.69,,,7.089,2.0292,1.983,0.2163,,69137.6,69137.6,35667.6,1917880.0,1917880.0,
603073.SH,20260820,16.71,2.2695,2.4473,0.73,27.8348,32.3321,1.3971,2.4046,2.3971,1.7953,0.5984,11600.0,5089.28,4719.42,193836.0,85041.9,
002909.SZ,20260820,5.19,1.4573,2.4277,0.85,,,2.3799,1.8643,1.9291,1.9076,,39000.0,38039.7,22834.0,202410.0,197426.0,
300982.SZ,20260820,14.76,1.0716,2.0138,0.78,,,1.0722,2.3896,2.8778,3.9714,0.6619,20696.5,19389.7,10317.7,305480.0,286192.0,
600131.SH,20260820,15.45,0.3918,0.9421,0.81,28.133,28.1924,2.853,1.7401,1.7472,1.1108,1.0683,119699.0,119591.0,49734.8,1849340.0,1847670.0,
002292.SZ,20260820,8.09,3.6049,4.3248,0.96,166.438,154.375,4.0234,4.8377,4.8447,,,147870.0,101788.0,84845.1,1196270.0,823468.0,
603239.SH,20260820,14.47,0.9389,2.2373,0.68,17.6531,19.174,2.8467,2.5735,2.5949,1.4513,2.0733,27072.0,27072.0,11360.9,391732.0,391732.0,
600795.SH,20260820,5.16,1.0643,2.438,1.3,12.8511,14.1832,1.5275,0.5406,0.5363,4.0698,4.6705,1783560.0,1783560.0,778583.0,9203180.0,9203180.0,
300828.SZ,20260820,16.92,6.2054,9.1694,0.42,86.3821,102.631,3.5664,4.7381,4.6214,1.7592,0.3515,16642.2,12466.9,8436.93,281586.0,210940.0,
600578.SH,20260820,5.62,0.9601,4.6884,0.31,10.6597,10.6107,1.4921,1.062,1.0555,2.1352,3.0249,669462.0,669462.0,137100.0,3762380.0,3762380.0,
